"Source:","C:\ARDUNO UNO SHIELD\arduno uno  shield\arduno uno  shield.kicad_sch"
"Date:","1/20/2024 9:11:07 PM"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Users\TungThai\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","17"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"A1","1","Arduino_UNO_R2","Arduino_UNO_R2","Module:Arduino_UNO_R2","Arduino UNO Microcontroller Module, release 2","",""
"D1, D2, D3, D4, D5, D6","6","LED","LED","LED_SMD:LED_0603_1608Metric","Light emitting diode","",""
"D7, D8","2","LED","LED","LED_SMD:LED_0201_0603Metric","Light emitting diode","",""
"R1","1","R1","R_Small_US","Resistor_SMD:R_0201_0603Metric","Resistor, small US symbol","",""
"R2","1","R2","R_Small_US","Resistor_SMD:R_0201_0603Metric","Resistor, small US symbol","",""
"R3","1","R3","R_Small_US","Resistor_SMD:R_0201_0603Metric","Resistor, small US symbol","",""
"R4","1","R4","R_Small_US","Resistor_SMD:R_0201_0603Metric","Resistor, small US symbol","",""
"R5","1","R5","R_Small_US","Resistor_SMD:R_0201_0603Metric","Resistor, small US symbol","",""
"R6","1","R6","R_Small_US","Resistor_SMD:R_0201_0603Metric","Resistor, small US symbol","",""
"R7","1","R7","R_Small_US","Resistor_SMD:R_0201_0603Metric","Resistor, small US symbol","",""
"R8","1","R8","R_Small_US","Resistor_SMD:R_0201_0603Metric","Resistor, small US symbol","",""
